name,description,category,number,is_required
הסעה ועגינה,,pre-solo,1,TRUE
"בד""ח",,pre-solo,2,TRUE
"הכרות, מושג האופק",,pre-solo,3,TRUE
השפעות הגהים ראשוניות,,pre-solo,4,TRUE
השפעות הגהים משניות,,pre-solo,5,TRUE
גובה אף (קיזוז),,pre-solo,6,TRUE
פניות (קואורדינציה),,pre-solo,7,TRUE
גלישה ישרה–שמירת כיוון ואיזון,,pre-solo,8,TRUE
גרירת מטוס,,pre-solo,9,TRUE
נחיתה,,pre-solo,10,TRUE
תכנון הקפה,,pre-solo,11,TRUE
שימוש במעצורי אויר,,pre-solo,12,TRUE
הצתרפות גבוה,,pre-solo,13,TRUE
מצב של חוסר גובה,,pre-solo,14,TRUE
הזדקרות,,pre-solo,15,TRUE
תירגול G מופחת,,pre-solo,16,TRUE
סיחרור תחילי,,pre-solo,17,TRUE
המראה /  נחיתה ברוח צד,,pre-solo,18,TRUE
סיחרור מלא,,pre-solo,19,TRUE
צלילה ספירלית,,pre-solo,20,TRUE
חרום גרירת מטוס + בטן בכבל,,pre-solo,21,TRUE
תיבה אחרי המטוס,,pre-solo,22,TRUE
הנמכה בגרירת מטוס,,pre-solo,23,TRUE
נחיתת דיוק,,pre-solo,24,TRUE
אימון שיפוט נחיתה – פנל חלקי,,pre-solo,25,TRUE
הסתכלות סביב – תמונת שמיים,,pre-solo,26,TRUE
פניות חדות,,pre-solo,27,TRUE
תירגול פתיחת חופה בהמראה,,pre-solo,28,TRUE
מבחן התמצאות עיוורת בתא,,post-solo,29,TRUE
פניות בינוניות,,post-solo,30,TRUE
פניות חדות,,post-solo,31,TRUE
הקפה הפוכה,,post-solo,32,TRUE
אויראות,,post-solo,33,TRUE
שהייה עד 30 דקות,,post-solo,34,TRUE
שהייה עד 45 דקות,,post-solo,35,TRUE
שהייה עד שעה,,post-solo,36,TRUE
,,post-solo,37,TRUE
החלפת פניות – בינוניות,,post-solo,38,TRUE
החלפת פניות – חדות,,post-solo,39,TRUE
תכנון הקפה עם מד גובה מכוסה,,post-solo,40,TRUE
תרגול נחיתה ללא מעצורים בהחלקה,,post-solo,41,TRUE
תיבה אחרי המטוס – ריענון,,post-solo,42,TRUE
חרומי מטוס,,post-solo,43,TRUE
הזדקרות: בישרה ואופקית,,post-solo,44,TRUE
הזדקרות: בפניה קלה,,post-solo,45,TRUE
הזדקרות: בפניה בינונית,,post-solo,46,TRUE
המראה ללא עזרת מחזיק כנף,,post-solo,47,TRUE
טכניקת טירמול,,post-solo,48,TRUE
טיסה לפי מקריידי,,post-solo,49,TRUE
מטאורולוגיה מתא הטייס-הבנת השמי,,post-solo,50,TRUE
לימוד בחירת קו התקדמות,,post-solo,51,TRUE
בחירת שדות נחיתה אלטרנטיביים,,post-solo,52,TRUE
ביצוע 5 נחיתות דיוק למשטח 30X30מ',,post-solo,53,TRUE
